seed,organ,jamming,pmax_avoidance,pmax_reachability,pmax_safety,n_states,error
0,Heart,0,0.9775200244201048,0.9775200244201048,0.979591836734694,894,
0,Lungs,0,0.9775200140844126,0.9775200140844126,0.979591836734694,894,
0,Liver,0,0.9775200244208052,0.9775200244208052,0.979591836734694,894,
0,Intestines,0,0.9775200244201294,0.9775200244201294,0.979591836734694,894,
0,Pancreas,0,0.9775199993410906,0.9775199993410906,0.979591836734694,894,
0,Kidneys,0,0.9775200140871672,0.9775200140871672,0.979591836734694,894,
0,Heart,1,0.9316382768231062,0.9316382768231062,0.7465604360577547,1753,
0,Lungs,1,0.9326480339679981,0.9326480339679981,0.7465604360577547,1753,
0,Liver,1,0.9306100844703497,0.9306100844703497,0.7465604360577547,1753,
0,Intestines,1,0.9326884166717945,0.9326884166717945,0.7465604360577547,1753,
0,Pancreas,1,0.9336933038551325,0.9336933038551325,0.7465604360577547,1753,
0,Kidneys,1,0.931657480780258,0.931657480780258,0.7465604360577547,1753,
1,Heart,0,0.9628695475341598,0.9628695475341598,1.0,894,
1,Lungs,0,0.9628695475341598,0.9628695475341598,1.0,894,
1,Liver,0,0.9628695475341598,0.9628695475341598,1.0,894,
1,Intestines,0,0.9628695475341598,0.9628695475341598,1.0,894,
1,Pancreas,0,0.9628695475341598,0.9628695475341598,1.0,894,
1,Kidneys,0,0.9628695475341598,0.9628695475341598,1.0,894,
1,Heart,1,0.865344912967892,0.865344912967892,0.7649357006501826,1750,
1,Lungs,1,0.8643691928870512,0.8643691928870512,0.7649357006501826,1750,
1,Liver,1,0.8653791465402035,0.8653791465402035,0.7649357006501826,1750,
1,Intestines,1,0.8633945551992181,0.8633945551992181,0.7649357006501826,1750,
1,Pancreas,1,0.8663217428718233,0.8663217428718233,0.7649357006501826,1750,
1,Kidneys,1,0.8643485080561834,0.8643485080561834,0.7649357006501826,1750,
2,Heart,0,0.933401336503255,0.933401336503255,0.9999999999999304,898,
2,Lungs,0,0.9334013173281425,0.9334013173281425,0.9999999999999304,898,
