seed,organ,jamming,k,avoidance,reachability,safety
0,Heart,0,1,0.0,0.0,0.9800000000000001
0,Heart,0,2,0.0,0.0,0.9796000000000001
0,Heart,0,3,0.0,0.0,0.9795920000000001
0,Heart,0,4,0.0,0.0,0.9795918400000001
0,Heart,0,5,0.0,0.0,0.9795918368000001
0,Heart,0,6,0.0,0.0,0.9795918367360001
0,Heart,0,7,0.0,0.0,0.9795918367347201
0,Heart,0,8,0.0,0.0,0.9795918367346945
0,Heart,0,9,0.0,0.0,0.979591836734694
0,Heart,0,10,0.0,0.0,0.979591836734694
0,Heart,0,11,0.0,0.0,0.979591836734694
0,Heart,0,12,0.0,0.0,0.979591836734694
0,Heart,0,13,0.0,0.0,0.979591836734694
0,Heart,0,14,0.0,0.0,0.979591836734694
0,Heart,0,15,0.0,0.0,0.979591836734694
0,Heart,0,16,0.0,0.0,0.979591836734694
0,Heart,0,17,0.0,0.0,0.979591836734694
0,Heart,0,18,0.0,0.0,0.979591836734694
0,Heart,0,19,0.0,0.0,0.979591836734694
0,Heart,0,20,0.0,0.0,0.979591836734694
0,Heart,0,21,3.480681950058348e-27,3.480681950058348e-27,0.979591836734694
0,Heart,0,22,8.934479416720853e-16,8.934479416720853e-16,0.979591836734694
0,Heart,0,23,1.9485831593039918e-11,1.9485831593039918e-11,0.979591836734694
0,Heart,0,24,1.3659193947127547e-07,1.3659193947127547e-07,0.979591836734694
0,Heart,0,25,0.0003309515350023708,0.0003309515350023708,0.979591836734694
0,Heart,0,26,0.25800132335116993,0.25800132335116993,0.979591836734694
0,Heart,0,27,0.5021920447426398,0.5021920447426398,0.979591836734694
0,Heart,0,28,0.6408922120544057,0.6408922120544057,0.979591836734694
0,Heart,0,29,0.7014910789111921,0.7014910789111921,0.979591836734694
0,Heart,0,30,0.7308162576185626,0.7308162576185626,0.979591836734694
0,Heart,0,31,0.7560490184311106,0.7560490184311106,0.979591836734694
0,Heart,0,32,0.7700297193890641,0.7700297193890641,0.979591836734694
0,Heart,0,33,0.7812721468945316,0.7812721468945316,0.979591836734694
0,Heart,0,34,0.788026561977353,0.788026561977353,0.979591836734694
0,Heart,0,35,0.7958572899991286,0.7958572899991286,0.979591836734694
0,Heart,0,36,0.809898621308688,0.809898621308688,0.979591836734694
0,Heart,0,37,0.823279279150694,0.823279279150694,0.979591836734694
0,Heart,0,38,0.8321525633090504,0.8321525633090504,0.979591836734694
0,Heart,0,39,0.8373180478749219,0.8373180478749219,0.979591836734694
0,Heart,0,40,0.8451293540206752,0.8451293540206752,0.979591836734694
0,Heart,0,41,0.8528367022927372,0.8528367022927372,0.979591836734694
0,Heart,0,42,0.8608095176936191,0.8608095176936191,0.979591836734694
0,Heart,0,43,0.8686074363095739,0.8686074363095739,0.979591836734694
0,Heart,0,44,0.8741381202560409,0.8741381202560409,0.979591836734694
0,Heart,0,45,0.877498004885691,0.877498004885691,0.979591836734694
0,Heart,0,46,0.8795029045848795,0.8795029045848795,0.979591836734694
0,Heart,0,47,0.881459399632953,0.881459399632953,0.979591836734694
0,Heart,0,48,0.8892730731222025,0.8892730731222025,0.979591836734694
0,Heart,0,49,0.8975490180044976,0.8975490180044976,0.979591836734694
0,Heart,0,50,0.92122752944336,0.92122752944336,0.979591836734694
0,Heart,0,51,0.9421465197052584,0.9421465197052584,0.979591836734694
0,Heart,0,52,0.9572038023658116,0.9572038023658116,0.979591836734694
0,Heart,0,53,0.9663415222266888,0.9663415222266888,0.979591836734694
0,Heart,0,54,0.9714503389832498,0.9714503389832498,0.979591836734694
0,Heart,0,55,0.9743080855292222,0.9743080855292222,0.979591836734694
0,Heart,0,56,0.9758631804501441,0.9758631804501441,0.979591836734694
0,Heart,0,57,0.9766768062829355,0.9766768062829355,0.979591836734694
0,Heart,0,58,0.9770940807845199,0.9770940807845199,0.979591836734694
0,Heart,0,59,0.9773031662783105,0.9773031662783105,0.979591836734694
0,Heart,0,60,0.977406132710878,0.977406132710878,0.979591836734694
0,Heart,0,61,0.9774560715686651,0.9774560715686651,0.979591836734694
