seed,k,pmax_robust_bounded
0,1,0.0
0,2,0.0
0,3,0.0
0,4,3.8400000000000064e-06
0,5,0.00047984640000000043
0,6,0.008803493376000003
0,7,0.05424982045696001
0,8,0.16225446041087996
0,9,0.28863263546186535
0,10,0.4145762845188308
0,11,0.5250993532169276
0,12,0.6149807929783256
0,13,0.6843168866723526
0,14,0.7359529908199384
0,15,0.7765087444444864
0,16,0.8069201436821308
0,17,0.8290939920804549
0,18,0.8449920603025749
0,19,0.8562444909585712
0,20,0.8641535400983837
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.28159342719999986
1,6,0.5750492350719997
1,7,0.7609104880614395
1,8,0.8627753893545465
1,9,0.9167933553155176
1,10,0.9465933047148022
1,11,0.9641059980732439
1,12,0.9749517477917359
1,13,0.9820433173360532
1,14,0.9869087630123056
1,15,0.9903612952449534
1,16,0.9928635333007014
1,17,0.9946997289371471
1,18,0.9960567818879784
1,19,0.99706373406703
1,20,0.9978125530701732
2,1,0.0
2,2,0.0
2,3,0.0
2,4,3.8400000000000064e-06
2,5,0.00047984640000000043
2,6,0.007979638272000003
2,7,0.04677067462656001
2,8,0.13470621855559678
2,9,0.25186974527428607
2,10,0.37421462205923894
2,11,0.48467956538040746
2,12,0.576461894116953
2,13,0.6501098987183274
2,14,0.7067925813928652
2,15,0.7530803851786463
2,16,0.7894278076307241
2,17,0.8167957291032277
2,18,0.8368278101140861
2,19,0.8513413748789467
2,20,0.8617653122229091
3,1,0.0
3,2,0.1104
3,3,0.5604159999999999
3,4,0.7681759999999997
3,5,0.8649369727999997
3,6,0.9058087319039998
3,7,0.9217482081766395
3,8,0.9278131158146559
3,9,0.9301451531738858
3,10,0.9312177393822163
3,11,0.9317985725820228
3,12,0.9321438397985352
3,13,0.9323578439240874
3,14,0.9324927632430191
3,15,0.932578393274687
3,16,0.9326328827426891
3,17,0.9326675919438028
3,18,0.932689710311355
3,19,0.9327038074783661
3,20,0.9327127929079428
4,1,0.0
4,2,0.1104
4,3,0.5604159999999999
4,4,0.7681759999999997
4,5,0.8649369727999997
4,6,0.9058087319039998
4,7,0.9217482081766395
4,8,0.9278131158146559
4,9,0.9301451531738858
4,10,0.9312177393822163
4,11,0.9317985725820228
4,12,0.9321438397985352
4,13,0.9323578439240874
4,14,0.9324927632430191
4,15,0.932578393274687
4,16,0.9326328827426891
4,17,0.9326675919438028
4,18,0.932689710311355
4,19,0.9327038074783661
4,20,0.9327127929079428
5,1,0.0
5,2,0.0
5,3,0.0062400000000000025
5,4,0.07494783999999999
5,5,0.24340177919999992
5,6,0.40523448115199984
5,7,0.5346551791615997
5,8,0.6287451470775293
5,9,0.6979393984678193
5,10,0.7447205272117503
5,11,0.775202609983588
5,12,0.7946876438866025
5,13,0.8070084330526001
5,14,0.8147472974221535
5,15,0.8195867057679264
5,16,0.8226035771228649
5,17,0.8244799129790157
5,18,0.8256447702377382
5,19,0.8263668501835782
5,20,0.8268138904615983
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0028704000000000017
6,5,0.0348575488
6,6,0.11773430476799995
6,7,0.2042488828723199
6,8,0.2780471578902527
6,9,0.3335420128180469
6,10,0.3771851767638819
6,11,0.41064663975233756
6,12,0.43500410577250775
6,13,0.4519995763640121
6,14,0.46363175526805356
6,15,0.471609577080167
6,16,0.4770700283572243
6,17,0.48080020973454174
6,18,0.4833444990487794
6,19,0.48507753768437806
6,20,0.48625660041268576
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.10149902079999996
7,6,0.3694916101119999
7,7,0.5998261407897597
7,8,0.7307693478790098
7,9,0.7933197439043194
7,10,0.8258196244904984
7,11,0.8551099675292542
7,12,0.8846774581931486
7,13,0.911505013266958
7,14,0.9337432358390851
7,15,0.951167254435358
7,16,0.9643651241820732
7,17,0.9741560158384053
7,18,0.981323849491414
7,19,0.9865258566884042
7,20,0.9902790853595789
8,1,0.0
8,2,0.1104
8,3,0.5604159999999999
8,4,0.7681759999999997
8,5,0.8649369727999997
8,6,0.9058087319039998
8,7,0.9217482081766395
8,8,0.9278131158146559
8,9,0.9301451531738858
8,10,0.9312177393822163
8,11,0.9317985725820228
8,12,0.9321438397985352
8,13,0.9323578439240874
8,14,0.9324927632430191
8,15,0.932578393274687
8,16,0.9326328827426891
8,17,0.9326675919438028
8,18,0.932689710311355
8,19,0.9327038074783661
8,20,0.9327127929079428
9,1,0.0
9,2,0.0
9,3,0.009504000000000002
9,4,0.09312384
9,5,0.28184451839999997
9,6,0.4525775769599999
9,7,0.5683840895846398
9,8,0.6378108799186941
9,9,0.6771689176075527
9,10,0.6989501243074482
9,11,0.7109028087680404
9,12,0.7174565534905459
9,13,0.7210598167164854
9,14,0.7230213783857907
9,15,0.7240562521390868
9,16,0.724608655193522
9,17,0.7249123864781576
9,18,0.7250822144131078
9,19,0.7251779828077345
9,20,0.7252322547608607
10,1,0.0
10,2,0.0
10,3,0.063296
10,4,0.24683647999999994
10,5,0.41061941759999987
10,6,0.5396031690239999
10,7,0.6280705316300798
10,8,0.6869130052209661
10,9,0.7249305730353662
10,10,0.7491540075051651
10,11,0.7644452824674982
10,12,0.7740399421066642
10,13,0.7800358511058646
10,14,0.7837715452533525
10,15,0.786093860912836
10,16,0.7875349554405677
10,17,0.7884279136250336
10,18,0.7889805352820616
10,19,0.7893221629977676
10,20,0.7895331501539762
11,1,0.0
11,2,0.0
11,3,0.009504000000000002
11,4,0.11557311999999999
11,5,0.35520976639999996
11,6,0.5589447042559997
11,7,0.6951569983539194
11,8,0.7766687468819451
11,9,0.8242483886703469
11,10,0.854214564432969
11,11,0.8720941838837206
11,12,0.8823507173678875
11,13,0.8880174034073212
11,14,0.8910515659497587
11,15,0.8926570206313684
11,16,0.893505986943693
11,17,0.8939518949920997
11,18,0.8941794330812942
11,19,0.8942949773483418
11,20,0.8943557759043097
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.004957440000000001
12,5,0.0529050112
12,6,0.23916621158399984
12,7,0.39166380773375975
12,8,0.48393075752488934
12,9,0.5333968755662436
12,10,0.56317739619689
12,11,0.5834999557506607
12,12,0.5971907895686287
12,13,0.6092947065480548
12,14,0.6206166805173687
12,15,0.630729238302915
12,16,0.6389121176356801
12,17,0.6450905906872879
12,18,0.6495234591397849
12,19,0.6525766455297995
12,20,0.6547457675659506
13,1,0.0
13,2,0.0
13,3,0.11657599999999999
13,4,0.5159078399999999
13,5,0.7412656767999997
13,6,0.8505959470079996
13,7,0.8981999431910397
13,8,0.9173931986349051
13,9,0.9248927753599804
13,10,0.9278460020401398
13,11,0.9295114174491006
13,12,0.9305438847419227
13,13,0.9312168039347569
13,14,0.931657167332832
13,15,0.9319481301944275
13,16,0.9321379713599044
13,17,0.9322616578083446
13,18,0.9323422843961243
13,19,0.9323948825364896
13,20,0.9324292141359276
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.35654943999999983
14,5,0.6546573567999998
14,6,0.8097745699839999
14,7,0.8830803165644798
14,8,0.9183230358783995
14,9,0.9363590001185068
14,10,0.9462938717031397
14,11,0.952158584145209
14,12,0.9557660673180551
14,13,0.958039576796191
14,14,0.9594880673191362
14,15,0.9604217428511496
14,16,0.9610266895080877
14,17,0.961422991085474
14,18,0.9616844673098193
14,19,0.9618580405957156
14,20,0.9619737721270234
15,1,0.08000000000000002
15,2,0.4935999999999999
15,3,0.6975839999999999
15,4,0.7691215999999997
15,5,0.7943628223999998
15,6,0.8027237559039997
15,7,0.8058635075814399
15,8,0.8073813353471486
15,9,0.8082393768255741
15,10,0.8087596549930265
15,11,0.8090846481796652
15,12,0.8092900823815454
15,13,0.8094205779466326
15,14,0.8095036376220492
15,15,0.809556549115151
15,16,0.8095902672200651
15,17,0.8096117574621413
15,18,0.8096254551428628
15,19,0.8096341861535152
15,20,0.8096397514332946
16,1,0.0
16,2,0.3712
16,3,0.5122559999999999
16,4,0.5866444799999999
16,5,0.6228112383999999
16,6,0.640720361472
16,7,0.64955116670976
16,8,0.6539097835921408
16,9,0.6560605831007599
16,10,0.6571219694594486
16,11,0.657645741048233
16,12,0.6579042118880575
16,13,0.658031762016163
16,14,0.6580947054318731
16,15,0.6581257667370168
16,16,0.6581410948642514
16,17,0.6581486589856884
16,18,0.6581523917269596
16,19,0.6581542337594432
16,20,0.6581551427652981
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.005711078400000001
17,6,0.058482141695999995
17,7,0.29201509908479983
17,8,0.5078824120983547
17,9,0.6509252642725045
17,10,0.7359710881833215
17,11,0.7889346940554034
17,12,0.8229424800504946
17,13,0.8443382305877142
17,14,0.8640537091258904
17,15,0.8866290299974697
17,16,0.9070011361171363
17,17,0.9228094552590289
17,18,0.9341755428078111
17,19,0.9420276834496225
17,20,0.9473280322871269
18,1,0.64
18,2,0.7936
18,3,0.830464
18,4,0.83931136
18,5,0.8414347263999999
18,6,0.8419443343359999
18,7,0.8420666402406399
18,8,0.8420959936577536
18,9,0.8421030384778608
18,10,0.8421047292346865
18,11,0.8421051350163247
18,12,0.8421052324039179
18,13,0.8421052557769403
18,14,0.8421052613864657
18,15,0.8421052627327518
18,16,0.8421052630558604
18,17,0.8421052631334064
18,18,0.8421052631520175
18,19,0.8421052631564842
18,20,0.8421052631575562
19,1,0.0
19,2,0.0
19,3,0.0
19,4,0.0004915200000000004
19,5,0.010956902400000001
19,6,0.066118669312
19,7,0.18230186095216633
19,8,0.3194352036024779
19,9,0.4554209165515942
19,10,0.5702899135711874
19,11,0.6584537642731931
19,12,0.7221089816892732
19,13,0.7662562020047016
19,14,0.7960447009126088
19,15,0.8155189054867228
19,16,0.8280687091657915
19,17,0.8367933537687011
19,18,0.8426976007390696
19,19,0.8465218323269447
19,20,0.8489539987767868
